々	(kép)
嘔	ẨU
嘖	TRÁCH
嘗	THƯỜNG/THƯỞNG
嘘	HƯ
嘛	MA
嘩	HOA
嘯	KHIẾU
嘱	CHÚC
嘲	TRÀO
嘴	CHỦY
嘶	TÊ
嘸	VÔ/MÔ
噂	ĐỒN
噌	TẰNG
噎	Ế
噐	KHÍ
噛	GIẢO
噤	CẤM
器	KHÍ
噪	TÁO
噫	Ý
噬	PHỆ
噴	PHÚN
噸	ĐỐN
嚀	NINH
嚆	CAO
嚇	HÁCH
嚊	TỴ
嚏	ĐẾ
嚔	ĐẾ
嚠	LƯU
嚢	NANG
嚥	YẾN
嚮	HƯỚNG
嚴	NGHIÊM
嚶	ANH
嚼	TƯỚC
囀	CHUYỂN
囁	NHIẾP
囂	HIÊU
囃	TẠP
囈	NGHỆ
囎	TĂNG
囑	CHÚC
囓	KHIẾT
囗	VI
囘	HỒI
囚	TÙ
四	TỨ
回	HỒI
因	NHÂN
団	ĐOÀN
囮	HÓA
困	KHỐN
囲	VI
図	ĐỒ
囹	LÃNH/LINH
固	CỐ
国	QUỐC
囿	HỮU
圀	QUỐC
圃	PHỐ
圄	NGỮ
圈	QUYỀN
圉	HẠNH
國	QUỐC
圍	VI
圏	QUYỀN
園	VIÊN
圓	VIÊN
圖	ĐỒ
團	ĐOÀN
圜	HOÀN
土	THỔ
圦	(nhập)
圧	ÁP
在	TẠI
圭	KHUÊ
地	ĐỊA
圻	KỲ
址	CHỈ
坂	PHẢN
均	QUÂN
坊	PHƯỜNG
坎	KHẢM
坏	HOẠI
坐	TỌA
坑	KHANH
坡	PHA
坤	KHÔN
坦	THẢN
坩	CAM
坪	BÌNH
坿	PHỤ
垂	THÙY
垉	BÀO
型	HÌNH
垓	CAI
垠	NGẦN
垢	CẤU
垣	VIÊN
垤	CHÍ
垰	(đèo)
埀	THÙY
埃	AI
埆	GIÁC
埋	MAI
城	THÀNH
埒	LIỆT/LẠT
埓	LIỆT/LẠT
埔	PHỐ
埖	HOA
埜	DÃ
域	VỰC
埠	PHỤ
埣	TỐT
埴	TRỰC
執	CHẤP
培	BỒI
基	CƠ
埼	KỲ
堀	QUẬT
堂	ĐƯỜNG
堅	KIÊN
堆	ĐÔI
堊	ÁC
堋	BẰNG
堕	ĐỌA
堙	YÊN
堝	QUA
堡	BẢO
堤	ĐÊ
堪	KHAM
堯	NGHIÊU
堰	YỂN
報	BÁO
場	TRƯỜNG
堵	ĐỔ
堺	GIỚI
塀	BIÊN
塁	LŨY
塊	KHỐI
塋	DOANH
塑	TỐ
塒	THÌ
塔	THÁP
塗	ĐỒ
塘	ĐƯỜNG
塙	CAO
塚	TRỦNG
塞	TẮC/TÁI
塢	Ổ
塩	DIÊM
填	ĐIỀN
塲	TRƯỜNG
塵	TRẦN
塹	KHIẾM
塾	THỤC
境	CẢNH
墅	THỰ
墓	MỘ
増	TĂNG
墜	TRỤY
墟	HƯ
墨	MẶC
墮	ĐỌA
墳	PHẦN
墸	CHỪ
墹	GIAN
墺	ÁO
墻	TƯỜNG
墾	KHẨN
壁	BÍCH
壅	UNG
壇	ĐÀN
壊	HOẠI
壌	NHƯỠNG
壑	HÁC
壓	ÁP
壕	HÀO
壙	HOÀNG
壜	ĐÀM
壞	HOẠI
壟	LŨNG
壤	NHƯỠNG
壥	TRIỀN
士	SĨ
壬	NHÂM
壮	TRÁNG
壯	TRÁNG
声	THANH
壱	NHẤT
売	MẠI
壷	HỒ
壹	NHẤT
壺	HỒ
壻	TẾ
壼	KHỔN
壽	THỌ
夂	TRUY
変	BIẾN
夊	TRUY
夏	HẠ
夐	QUYNH
夕	TỊCH
外	NGOẠI
夘	MÃO
夙	TÚC
多	ĐA
夜	DẠ
夢	MỘNG
夥	LÕA
大	ĐẠI
天	THIÊN
太	THÁI
夫	PHU
夬	QUÁI
夭	YÊU/YỂU
央	ƯƠNG
失	THẤT
夲	BỔN
夷	DI
夸	KHỐ
夾	GIÁP
奄	YỂM
奇	KỲ
奈	NẠI
奉	PHỤNG
奎	KHUÊ
奏	TẤU
奐	HOÁN
契	KHẾ/KHIẾT
奔	BÔN
奕	DỊCH
套	SÁO
奘	TRANG
奚	HỀ
奠	ĐIỆN
奢	XA
奥	ÁO
奧	ÁO
奨	TƯỞNG
奩	LIÊM
奪	ĐOẠT
奬	TƯỞNG
奮	PHẤN
女	NỮ
